raw_sid,namespace,pkdb_sid,study_name,pmid,pmcid,doi,title,raw_data_path,paperclip_available,paperclip_text_availability,paperclip_id,paperclip_source,paperclip_document_path,paperclip_url,match_method,match_note
PKDB00184,pkdb,PKDB00184,Douglas1996,8853667,,,A pharmacokinetic comparison of acetaminophen products (Tylenol Extended Relief vs regular Tylenol),pkdb/PKDB00184/study.json,yes,abstract_only,oa_W2026254124,abstracts,,https://doi.org/10.1111/j.1553-2712.1996.tb03508.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
Sigurbjoernsson1998,legacy,PKDB00546,Sigurbjoernsson1998,9625267,,,A pharmacokinetic evaluation of pravastatin in middle-aged and elderly volunteers.,legacy/Sigurbjoernsson1998/study.json,no,none,,,,,,no_exact_match
PKDB00499,pkdb,PKDB00499,Dumond2010,20147896,PMC2882206,10.1038/clpt.2009.253,A phenotype-genotype approach to predicting CYP450 and P-glycoprotein drug interactions with the mixed inhibitor/inducer tipranavir/ritonavir.,pkdb/PKDB00499/study.json,yes,abstract_only,oa_W2036793894,abstracts,,https://doi.org/10.1038/clpt.2009.253,doi_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00246,pkdb,PKDB00246,Olkkola1993,8453848,,,A potentially hazardous interaction between erythromycin and midazolam.,pkdb/PKDB00246/study.json,yes,abstract_only,oa_W2104093795,abstracts,,https://doi.org/10.1038/clpt.1993.25,title_exact,Abstract corpus record; no Paperclip full-text document path.
Kinzler2019,legacy,,Kinzler2019,31278694,PMC6822839,10.1007/s12325-019-01022-4,"A Randomized, Crossover Study on the Effect of Food on the Pharmacokinetic Characteristics of Morphine ARER (MorphaBond™ ER), an Abuse-Deterrent Formulation of Extended-Release Morphine.",legacy/Kinzler2019/study.json,yes,full_text,PMC6822839,pmc,/papers/PMC6822839/content.lines,https://paperclip.gxl.ai/citations/papers/PMC6822839,pmcid_exact,
24517114,pmid,,Berg2014,24517114,PMC3928318,10.1186/1471-230X-14-25,"A randomized, double-blind, placebo-controlled, multiple-dose, parallel-group clinical trial to assess the effects of teduglutide on gastric emptying of liquids in healthy subjects.",pmid/24517114/study.json,yes,full_text,PMC3928318,pmc,/papers/PMC3928318/content.lines,https://paperclip.gxl.ai/citations/papers/PMC3928318,pmcid_exact,
PKDB00482,pkdb,PKDB00482,Sadek2017,29230348,,,"A Randomized, Two-Way Crossover Study to Evaluate the Pharmacokinetics of Caffeine Delivered Using Caffeinated Chewing Gum Versus a Marketed Caffeinated Beverage in Healthy Adult Volunteers.",pkdb/PKDB00482/study.json,yes,abstract_only,oa_W2775335594,abstracts,,https://doi.org/10.1089/jcr.2017.0025,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00293,pkdb,PKDB00293,Khan2008,20046786,PMC2792562,10.4103/0250-474X.44609,A simplified HPLC method for quantification of torsemide from human plasma and its application to a bioequivalence study.,pkdb/PKDB00293/study.json,yes,full_text,PMC2792562,pmc,/papers/PMC2792562/content.lines,https://paperclip.gxl.ai/citations/papers/PMC2792562,pmcid_exact,
PKDB00128,pkdb,PKDB00128,Cornish1957,13475320,,,"A study of the metabolism of theobromine, theophylline, and caffeine in man.",pkdb/PKDB00128/study.json,no,none,,,,,,no_exact_match
PKDB00015,pkdb,PKDB00015,Campbell1987a,3608349,,,A urinary metabolite ratio that reflects systemic caffeine clearance.,pkdb/PKDB00015/study.json,yes,abstract_only,oa_W2100199295,abstracts,,https://doi.org/10.1038/clpt.1987.126,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00509,pkdb,PKDB00509,Keskitalo2008,19238649,,,ABCB1 haplotypes differentially affect the pharmacokinetics of the acid and lactone forms of simvastatin and atorvastatin.,pkdb/PKDB00509/study.json,yes,abstract_only,oa_W2040440041,abstracts,,https://doi.org/10.1038/clpt.2008.25,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00407,pkdb,PKDB00407,Martin1976,814028,,,Abnormal hepatic transport of indocyanine green in Gilbert's syndrome.,pkdb/PKDB00407/study.json,no,none,,,,,,no_exact_match
PKDB00179,pkdb,PKDB00179,Greenblatt1986,2935051,,,Absence of interaction of cimetidine and ranitidine with intravenous and oral midazolam.,pkdb/PKDB00179/study.json,no,none,,,,,,no_exact_match
PKDB00338,pkdb,PKDB00338,Marks1973,4121243,,,"Absorption of caffeine from tea, coffee, and coca cola.",pkdb/PKDB00338/study.json,no,none,,,,,,no_exact_match
PKDB00303,pkdb,PKDB00303,Magnussen1979,495118,,,Absorption of diazepam in man following rectal and parenteral administration.,pkdb/PKDB00303/study.json,no,none,,,,,,no_exact_match
PKDB00196,pkdb,PKDB00196,Divoll1982c,7056022,,,Acetaminophen kinetics in the elderly.,pkdb/PKDB00196/study.json,yes,abstract_only,oa_W2063020863,abstracts,,https://doi.org/10.1038/clpt.1982.24,title_exact,Abstract corpus record; no Paperclip full-text document path.
4850385,pmid,,Mrochek1974,4850385,,,"Acetaminophen metabolism in man, as determined by high-resolution liquid chromatography.",pmid/4850385/study.json,yes,abstract_only,oa_W2286204632,abstracts,,https://doi.org/10.1093/clinchem/20.8.1086,title_exact,Abstract corpus record; no Paperclip full-text document path.
4823929,pmid,,DeVane1974,4823929,,,Acute suppression of insulin and glucose levels by synthetic somatostatin in normal human subjects.,pmid/4823929/study.json,no,none,,,,,,no_exact_match
2816559,pmid,,Baillie1989,2816559,,,Age and the pharmacokinetics of morphine.,pmid/2816559/study.json,yes,abstract_only,oa_W2109865776,abstracts,,https://doi.org/10.1093/ageing/18.4.258,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00131,pkdb,PKDB00131,Divoll1982,7069091,,10.1111/j.1532-5415.1982.tb07093.x,Age does not alter acetaminophen absorption.,pkdb/PKDB00131/study.json,yes,abstract_only,oa_W2047273344,abstracts,,https://doi.org/10.1111/j.1532-5415.1982.tb07093.x,doi_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00294,pkdb,PKDB00294,MacLeod1979,762252,,,Age- and gender-related differences in diazepam pharmacokinetics.,pkdb/PKDB00294/study.json,no,none,,,,,,no_exact_match
6883911,pmid,,Owen1983,6883911,,,Age-related morphine kinetics.,pmid/6883911/study.json,yes,abstract_only,oa_W2112249040,abstracts,,https://doi.org/10.1038/clpt.1983.180,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00283,pkdb,PKDB00283,Wang2020b,31965188,,,An Experimental Pharmacokinetics Study of Diazepam and Its Metabolites in Oral Fluid of Chinese Population.,pkdb/PKDB00283/study.json,yes,abstract_only,oa_W3001071950,abstracts,,https://doi.org/10.1093/jat/bkz101,title_exact,Abstract corpus record; no Paperclip full-text document path.
18853232,pmid,,Priebe2008,18853232,,,An explorative study of in vivo digestive starch characteristics and postprandial glucose kinetics of wholemeal wheat bread.,pmid/18853232/study.json,no,none,,,,,,no_exact_match
Cobelli1982,legacy,,Cobelli1982,,,,An integrated mathematical model of the dynamics of blood glucose and its hormonal control.,legacy/Cobelli1982/study.json,no,none,,,,,,no_exact_match
11417446,pmid,,Tamminga2001,11417446,,,An optimized methodology for combined phenotyping and genotyping on CYP2D6 and CYP2C19.,pmid/11417446/study.json,no,none,,,,,,no_exact_match
1577043,pmid,,Nielsen1992,1577043,,,"Analgesic efficacy of immediate and sustained release paracetamol and plasma concentration of paracetamol. Double blind, placebo-controlled evaluation using painful laser stimulation.",pmid/1577043/study.json,no,none,,,,,,no_exact_match
12928596,pmid,,Yeh2003,12928596,,,Analysis of pharmacokinetic parameters for assessment of dextromethorphan metabolic phenotypes.,pmid/12928596/study.json,no,none,,,,,,no_exact_match
PKDB00475,pkdb,PKDB00475,McQuilkin1995,7742721,,,Analysis of within-subject variation of caffeine metabolism when used to determine cytochrome P4501A2 and N-acetyltransferase-2 activities.,pkdb/PKDB00475/study.json,no,none,,,,,,no_exact_match
PKDB00386,pkdb,PKDB00386,Andersen1999,10499483,,,"Antipyrine, oxazepam, and indocyanine green clearance in patients with chronic pancreatitis and healthy subjects.",pkdb/PKDB00386/study.json,yes,abstract_only,oa_W2163237979,abstracts,,https://doi.org/10.1080/003655299750025750,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00306,pkdb,PKDB00306,Lee2002,12496753,,,Application of semisimultaneous midazolam administration for hepatic and intestinal cytochrome P450 3A phenotyping.,pkdb/PKDB00306/study.json,yes,abstract_only,oa_W1969273920,abstracts,,https://doi.org/10.1067/mcp.2002.129068,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00433,pkdb,PKDB00433,Bapiro2005,16261361,,,Artemisinin and thiabendazole are potent inhibitors of cytochrome P450 1A2 (CYP1A2) activity in humans.,pkdb/PKDB00433/study.json,no,none,,,,,,no_exact_match
PKDB00409,pkdb,PKDB00409,Moeller1998,9691928,PMC1727147,10.1136/gut.42.6.868,Arterial hypoxaemia in cirrhosis: fact or fiction?,pkdb/PKDB00409/study.json,yes,abstract_only,oa_W2111075135,abstracts,,https://doi.org/10.1136/gut.42.6.868,doi_exact,Abstract corpus record; no Paperclip full-text document path.
10613613,pmid,,Tenneze1999,10613613,,,Assessment of CYP2D6 and CYP2C19 activity in vivo in humans: a cocktail study with dextromethorphan and chloroguanide alone and in combination.,pmid/10613613/study.json,yes,abstract_only,oa_W2138275432,abstracts,,https://doi.org/10.1053/cp.1999.v66.103401001,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00411,pkdb,PKDB00411,Soons1991,1768562,,,Assessment of hepatic blood flow in healthy subjects by continuous infusion of indocyanine green.,pkdb/PKDB00411/study.json,yes,abstract_only,oa_W1489797290,abstracts,,https://doi.org/10.1111/j.1365-2125.1991.tb03976.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00493,pkdb,PKDB00493,Wahllaender1990,2185297,,,Assessment of hepatic function. Comparison of caffeine clearance in serum and saliva during the day and at night.,pkdb/PKDB00493/study.json,no,none,,,,,,no_exact_match
PKDB00416,pkdb,PKDB00416,Seyama2009,19208031,,,Assessment of liver function for safe hepatic resection.,pkdb/PKDB00416/study.json,yes,abstract_only,oa_W2155402981,abstracts,,https://doi.org/10.1111/j.1872-034x.2008.00441.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00496,pkdb,PKDB00496,Edwards2017,28808886,PMC5599467,10.1007/s12325-017-0601-0,"Assessment of Pharmacokinetic Interactions Between Obeticholic Acid and Caffeine, Midazolam, Warfarin, Dextromethorphan, Omeprazole, Rosuvastatin, and Digoxin in Phase 1 Studies in Healthy Subjects.",pkdb/PKDB00496/study.json,yes,full_text,PMC5599467,pmc,/papers/PMC5599467/content.lines,https://paperclip.gxl.ai/citations/papers/PMC5599467,pmcid_exact,
PKDB00319,pkdb,PKDB00319,Henney2014,24934774,,,Assessment of pharmacokinetics and tolerability of intranasal diazepam relative to rectal gel in healthy adults.,pkdb/PKDB00319/study.json,no,none,,,,,,no_exact_match
PKDB00460,pkdb,PKDB00460,He2017,28875060,PMC5582588,10.1089/jcr.2017.0006,Assessment of the Drug-Drug Interaction Potential Between Theacrine and Caffeine in Humans.,pkdb/PKDB00460/study.json,yes,abstract_only,oa_W2735086467,abstracts,,https://doi.org/10.1089/jcr.2017.0006,doi_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00487,pkdb,PKDB00487,Soto1995,8602388,,,Assessment of the time course of drugs with inhibitory effects on hepatic metabolic activity using successive salivary caffeine tests.,pkdb/PKDB00487/study.json,yes,abstract_only,oa_W1495664218,abstracts,,https://doi.org/10.1002/j.1875-9114.1995.tb02897.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00391,pkdb,PKDB00391,Chijiiwa2000,10773154,,,Biliary indocyanine green excretion as a predictor of hepatic adenosine triphosphate levels in patients with obstructive jaundice.,pkdb/PKDB00391/study.json,no,none,,,,,,no_exact_match
3358767,pmid,,Dayer1988,3358767,,,Bioactivation of the narcotic drug codeine in human liver is mediated by the polymorphic monooxygenase catalyzing debrisoquine 4-hydroxylation (cytochrome P-450 dbl/bufI).,pmid/3358767/study.json,no,none,,,,,,no_exact_match
PKDB00380,pkdb,PKDB00380,VazdaSilva2005,17532679,,,Bioavailability and bioequivalence of two enteric-coated formulations of omeprazole in fasting and fed conditions.,pkdb/PKDB00380/study.json,no,none,,,,,,no_exact_match
PKDB00281,pkdb,PKDB00281,Lehmann2008,18238878,,,Bioavailability and dose proportionality of intramuscular diazepam administered by autoinjector.,pkdb/PKDB00281/study.json,yes,abstract_only,oa_W2042875036,abstracts,,https://doi.org/10.1177/0091270007311572,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00332,pkdb,PKDB00332,Sonne1988a,3197746,,,Bioavailability and pharmacokinetics of oxazepam.,pkdb/PKDB00332/study.json,no,none,,,,,,no_exact_match
9840216,pmid,PKDB00579,Demirbas1998,9840216,,,Bioavailability of dextromethorphan (as dextrorphan) from sustained release formulations in the presence of guaifenesin in human volunteers.,pmid/9840216/study.json,yes,abstract_only,oa_W2148706619,abstracts,,https://doi.org/10.1002/(sici)1099-081x(1998110)19:8<541::aid-bdd138>3.0.co;2-8,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00144,pkdb,PKDB00144,Richter1974,22454936,PMC1402535,,Bioavailability of different preparations of paracetamol.,pkdb/PKDB00144/study.json,yes,abstract_only,oa_W2075503524,abstracts,,https://doi.org/10.1111/j.1365-2125.1974.tb01700.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00152,pkdb,PKDB00152,SevillaTirado2003,14571283,,,"Bioavailability of two new formulations of paracetamol, compared with three marketed formulations, in healthy volunteers.",pkdb/PKDB00152/study.json,no,none,,,,,,no_exact_match
PKDB00022,pkdb,PKDB00022,Albert1974,4829520,,10.1002/j.1552-4604.1974.tb02312.x,Bioavailability studies of acetaminophen and nitrofurantoin.,pkdb/PKDB00022/study.json,yes,abstract_only,oa_W2143801404,abstracts,,https://doi.org/10.1002/j.1552-4604.1974.tb02312.x,doi_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00292,pkdb,PKDB00292,Schwarz1993,8330470,,,"Bioavailability, pharmacokinetics, and pharmacodynamics of torsemide in patients with cirrhosis.",pkdb/PKDB00292/study.json,yes,abstract_only,oa_W2090361509,abstracts,,https://doi.org/10.1038/clpt.1993.116,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00287,pkdb,PKDB00287,Cho2005,,,,Bioequivalence of Boryung Torsemide Tablet to Torem Tablet (Torasemide 10 mg) by High Performance Liquid Chromatography/UV Detector,pkdb/PKDB00287/study.json,no,none,,,,,,no_exact_match
PKDB00313,pkdb,PKDB00313,Kang2013,,,,Bioequivalence of Torad tablet 5 mg to Torem tablet 5 mg (torasemide 5 mg),pkdb/PKDB00313/study.json,no,none,,,,,,no_exact_match
PKDB00346,pkdb,PKDB00346,Lohitnavy2004,14979606,,,Bioequivalence study of two formulations of simvastatin tablets in healthy Thai volunteers.,pkdb/PKDB00346/study.json,yes,abstract_only,oa_W2074547063,abstracts,,https://doi.org/10.1055/s-0031-1296933,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00272,pkdb,PKDB00272,DeSilva1966,5338617,,,Blood level distribution patterns of diazepam and its major metabolite in man.,pkdb/PKDB00272/study.json,no,none,,,,,,no_exact_match
14982753,pmid,,Basu2004,14982753,,,"Both fasting glucose production and disappearance are abnormal in people with ""mild"" and ""severe"" type 2 diabetes.",pmid/14982753/study.json,yes,abstract_only,oa_W2157398808,abstracts,,https://doi.org/10.1152/ajpendo.00549.2003,title_exact,Abstract corpus record; no Paperclip full-text document path.
2857025,pmid,,Bell1985,2857025,,,Buccal morphine--a new route for analgesia?,pmid/2857025/study.json,no,none,,,,,,no_exact_match
PKDB00125,pkdb,PKDB00125,Renner2007,17442681,,10.1177/0091270007299762,Caffeine accelerates absorption and enhances the analgesic effect of acetaminophen.,pkdb/PKDB00125/study.json,yes,abstract_only,oa_W1990564216,abstracts,,https://doi.org/10.1177/0091270007299762,doi_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00478,pkdb,PKDB00478,Perera2010,20853468,,,Caffeine and paraxanthine HPLC assay for CYP1A2 phenotype assessment using saliva and plasma.,pkdb/PKDB00478/study.json,yes,abstract_only,oa_W1977321058,abstracts,,https://doi.org/10.1002/bmc.1419,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00485,pkdb,PKDB00485,Scott1988,3356110,,,Caffeine clearance and biotransformation in patients with chronic liver disease.,pkdb/PKDB00485/study.json,yes,abstract_only,oa_W2333664070,abstracts,,https://doi.org/10.1042/cs0740377,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00474,pkdb,PKDB00474,McDonagh1991,2060878,PMC1378889,10.1136/gut.32.6.681,"Caffeine clearance by enzyme multiplied immunoassay technique: a simple, inexpensive, and useful indicator of liver function.",pkdb/PKDB00474/study.json,yes,abstract_only,oa_W1979035907,abstracts,,https://doi.org/10.1136/gut.32.6.681,doi_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00014,pkdb,PKDB00014,Bonati1982,7083737,,,Caffeine disposition after oral doses.,pkdb/PKDB00014/study.json,yes,abstract_only,oa_W2047855828,abstracts,,https://doi.org/10.1038/clpt.1982.132,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00427,pkdb,PKDB00427,Abernethy1985a,4027137,PMC1400629,10.1111/j.1365-2125.1985.tb02799.x,Caffeine disposition in obesity.,pkdb/PKDB00427/study.json,yes,abstract_only,oa_W2095253317,abstracts,,https://doi.org/10.1111/j.1365-2125.1985.tb02799.x,doi_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00383,pkdb,PKDB00383,Wang1985,4079279,,,Caffeine elimination: a test of liver function.,pkdb/PKDB00383/study.json,no,none,,,,,,no_exact_match
PKDB00450,pkdb,PKDB00450,Cook1976,1033273,,,Caffeine in plasma and saliva by a radioimmunoassay procedure.,pkdb/PKDB00450/study.json,no,none,,,,,,no_exact_match
PKDB00048,pkdb,PKDB00048,Levy1983,6851408,,,Caffeine metabolism and coffee-attributed sleep disturbances.,pkdb/PKDB00048/study.json,yes,abstract_only,oa_W2029023916,abstracts,,https://doi.org/10.1038/clpt.1983.105,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00012,pkdb,PKDB00012,Birkett1991,2049248,PMC1368325,,Caffeine renal clearance and urine caffeine concentrations during steady state dosing. Implications for monitoring caffeine intake during sports events.,pkdb/PKDB00012/study.json,yes,abstract_only,oa_W1973513838,abstracts,,https://doi.org/10.1111/j.1365-2125.1991.tb05553.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00441,pkdb,PKDB00441,Calatayud1995,7775610,,,Caffeine test assessment for measuring liver function in critically ill patients.,pkdb/PKDB00441/study.json,yes,abstract_only,oa_W2067905616,abstracts,,https://doi.org/10.1111/j.1365-2710.1995.tb00621.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00059,pkdb,PKDB00059,Renner1984,6420303,,,Caffeine: a model compound for measuring liver function.,pkdb/PKDB00059/study.json,yes,abstract_only,oa_W1986398072,abstracts,,https://doi.org/10.1002/hep.1840040107,title_exact,Abstract corpus record; no Paperclip full-text document path.
3519643,pmid,,Polonsky1986a,3519643,,,Calculation of the systemic delivery rate of insulin in normal man.,pmid/3519643/study.json,yes,abstract_only,oa_W1986436191,abstracts,,https://doi.org/10.1210/jcem-63-1-113,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00347,pkdb,PKDB00347,Ucar2004,14691614,,,Carbamazepine markedly reduces serum concentrations of simvastatin and simvastatin acid.,pkdb/PKDB00347/study.json,no,none,,,,,,no_exact_match
PKDB00495,pkdb,PKDB00495,YuberoLahoz2012,22673010,,,"Changes in CYP1A2 activity in humans after 3,4-methylenedioxymethamphetamine (MDMA, ecstasy) administration using caffeine as a probe drug.",pkdb/PKDB00495/study.json,yes,abstract_only,oa_W2150463045,abstracts,,https://doi.org/10.2133/dmpk.dmpk-12-rg-032,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00421,pkdb,PKDB00421,Geneve1990,2206792,PMC1368232,10.1111/j.1365-2125.1990.tb03779.x,Changes in indocyanine green kinetics after the administration of enalapril to healthy subjects.,pkdb/PKDB00421/study.json,yes,abstract_only,oa_W2091386530,abstracts,,https://doi.org/10.1111/j.1365-2125.1990.tb03779.x,doi_exact,Abstract corpus record; no Paperclip full-text document path.
3365914,pmid,,Brown1988a,3365914,,,Changes in rate and pattern of caffeine metabolism after cigarette abstinence.,pmid/3365914/study.json,yes,abstract_only,oa_W1980038540,abstracts,,https://doi.org/10.1038/clpt.1988.63,title_exact,Abstract corpus record; no Paperclip full-text document path.
23394389,pmid,PKDB00589,Montane2013,23394389,,,Characterization of the CYP2D6 gene locus and metabolic activity in Indo- and Afro-Trinidadians: discovery of novel allelic variants.,pmid/23394389/study.json,no,none,,,,,,no_exact_match
PKDB00259,pkdb,PKDB00259,Kolawole2002,12365202,,,Chronopharmacokinetics of acetaminophen in healthy human volunteers.,pkdb/PKDB00259/study.json,no,none,,,,,,no_exact_match
PKDB00119,pkdb,PKDB00119,Malan1985,4027126,PMC1463861,,Chronopharmacokinetics of paracetamol in normal subjects.,pkdb/PKDB00119/study.json,yes,abstract_only,oa_W1988359687,abstracts,,https://doi.org/10.1111/j.1365-2125.1985.tb02726.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00337,pkdb,PKDB00337,Patwardhan1980a,6106621,,,Cimetidine spares the glucuronidation of lorazepam and oxazepam.,pkdb/PKDB00337/study.json,yes,abstract_only,oa_W2010728791,abstracts,,https://doi.org/10.1097/00132586-198112000-00009,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00039,pkdb,PKDB00039,Harder1989,2589393,,,Ciprofloxacin-caffeine: a drug interaction established using in vivo and in vitro investigations.,pkdb/PKDB00039/study.json,no,none,,,,,,no_exact_match
Itoh2001,legacy,,Itoh2001,,,,Cisapride raises the bioavailability of paracetamol by inhibiting its glucuronidation in man,legacy/Itoh2001/study.json,yes,abstract_only,oa_W2010721971,abstracts,,https://doi.org/10.1211/0022357011776298,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00395,pkdb,PKDB00395,Grainger1983,6822056,,,Clearance and non-invasive determination of the hepatic extraction of indocyanine green in baboons and man.,pkdb/PKDB00395/study.json,yes,abstract_only,oa_W1234199855,abstracts,,https://doi.org/10.1042/cs0640207,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00456,pkdb,PKDB00456,Gurley2005a,15974642,PMC1858666,10.2165/00002512-200522060-00006,"Clinical assessment of effects of botanical supplementation on cytochrome P450 phenotypes in the elderly: St John's wort, garlic oil, Panax ginseng and Ginkgo biloba.",pkdb/PKDB00456/study.json,no,none,,,,,,no_exact_match
