pmid	pmcid
15249972	
15260906	
15262185	
15265511	
15274037	
15280927	PMC2364770
15282200	
15284534	
15284537	
15289788	
15289789	
1531950	
15322419	
15337646	
15349717	
15358623	
15447734	
15453913	PMC524175
15457444	
1546384	
15467211	
15470328	
15475735	
15483195	
15499191	
15502717	
15526248	
15533655	
15536456	
15548849	
15554460	
15564877	
15564883	
15565110	
15565299	
15570193	
15590749	
15592323	
15592325	
15603879	
15604153	PMC539815
15606441	PMC1884959
15608561	
15614026	
15618746	
15630486	
15632378	
15634941	
15650881	
15668854	
15687340	
15692831	
15694263	
15694942	
15695296	
15707415	
15710002	
15714076	
15715938	
15722458	
15726636	
15728438	
15729081	
15729180	
15731591	
15742978	
15743363	
15764711	
15773232	
15775779	
15784872	
15788353	
15790782	
15795539	
15805193	PMC556232
15808586	
15812265	
15825040	
15830237	
15834068	PMC1755496
15855489	PMC1087660
15857428	
15861035	
15861037	
15864112	
15864113	
15864128	
15864131	
15883587	
15888487	
15900015	
15903128	
15906019	
15918040	
15919447	
15930419	
15932363	
15952098	
15963082	
15976989	
15980104	
15993850	
16002074	
16003289	
16007002	
16020596	PMC1769026
16021435	
16024198	
16034444	
16041240	
16044105	
16081343	
16082688	
16084854	
16094537	
16103896	
16115483	
16123753	
16123758	
16127283	
16129989	
16133961	
16146556	
16153401	
16158080	
16160068	PMC1237155
16181985	
16182270	
16182272	
16198652	
16201835	PMC1251635
16202677	
16220110	
16236141	
16249748	
16249913	
16267764	
16270629	
16283274	
16299241	
16302021	
16319918	
16321621	
16322642	PMC2662935
16338280	
16355344	
16386926	
16392089	
16401468	
16402128	
16413245	
16415111	
16421475	
16424824	
16432637	
16433808	
16433869	PMC1885008
16458487	
16462575	
16463153	
16467099	
16495778	
16501005	
16508157	
16513443	
16515395	
16531626	
16542858	
16543980	
1655344	
16572443	
16580768	
16580898	
16580900	
16580902	
16581111	
16583408	
16595916	
16604300	
16607077	
16610939	
16611310	
16611750	PMC2564574
16628701	
16636344	
16642436	PMC1474035
16676068	
16699986	
16702979	
16707601	
16719544	
16720636	
16722833	PMC1885108
16753003	
16753004	
16758348	PMC3454958
16763825	
16765146	
16769602	
16778723	
16788380	
16797284	
16815313	
16815314	
16815316	
16815317	
16815318	
16815679	
16819548	
16822601	
16833023	
16847664	
16849011	
16857630	
16863547	
16869811	PMC2000718
16871067	
16871470	
16874005	
16875718	
16876132	
16879459	
16890574	
16890579	
16906016	
16906017	
16906020	
16909270	
16911680	
16911688	
16912869	
16917677	
16920476	
16937451	PMC4087845
16940139	PMC1563530
16947783	
16951398	
16952495	
16960700	
16961627	
16979018	
17001291	
17001296	
17008591	
17011540	
17015050	
17015051	
17015052	
17018806	
17023870	
17030231	
17032130	
17047484	
17047488	
17047492	
17049058	
17049586	
17064846	
17092969	
17105675	
17108811	
17110455	
17111199	
17111267	
17112802	
17112810	
17112811	
17123473	
17148966	
17156920	PMC1995596
17164591	
17164697	
17175164	
17178264	
17178265	
17178266	
17178267	
17178268	
17180579	
17183730	PMC1762324
17185998	
17186005	
17190370	
17192506	
17192769	
17194903	
17203168	
17215846	
17220563	
17223085	
17234366	
17235330	
17242628	
17261659	
17265061	
17267622	
17283289	
17295875	
17306068	
17324110	
17324111	
17325736	
17329852	
17329985	
17337040	
17339868	
17343250	
17356468	
17361120	
17370067	
17387222	PMC1975838
17391324	PMC1974827
17392730	
17404720	PMC1963422
17404734	
17430486	
17431185	
17439512	
17439540	PMC2000640
17460029	
17460606	
17460607	
17467803	
17467808	
17473847	
17495880	
17496726	
17501853	
17502774	
17503482	
17503984	
17512587	
17517247	PMC1978168
17519421	
17522595	PMC2921956
17537913	PMC1887589
17541557	
17554244	
17559344	
17563401	
17563839	PMC3476140
17568401	
17577039	
17585213	
17588543	PMC2194758
17596133	
17602083	
17610534	PMC2048549
17621383	
17627617	PMC11159294
17635182	
17645482	
17652833	
17667795	
17667796	
17667959	
17673491	PMC2750008
17687269	
17693647	
17698328	
17699831	PMC2168111
17704420	
17715206	
17721180	
17724700	
17725248	
17725594	
17761710	
17761971	
17764479	PMC2291274
17764537	
17803873	
17828532	
17851566	
17872605	PMC1952551
17875118	
17885551	PMC2792638
17909004	
17913323	
17914325	
17918089	
17931083	
17934830	
17941052	
17948872	
17955230	
17965519	
17968817	
17978999	
17986163	
17989110	
18004205	
18021343	
18025780	
18030307	
18050121	
18050183	
18055561	
18057928	
18070221	PMC2291379
18167504	
18182069	
18183038	
18195729	
18200436	
18204343	
18204346	
18212800	
18214456	
18214865	
18221820	
18234403	
18241283	PMC2432487
18245543	
18250228	PMC2288721
18250251	PMC2666924
18253134	
18256692	
18261733	PMC4565152
18285551	PMC4615595
18292785	PMC5531276
18300238	
18303965	
18305455	PMC2683977
18308786	
18317231	
18322281	PMC3894627
18322994	
18325643	PMC2292110
18334103	
18334918	
18334919	
18335219	
18341670	PMC2485247
18347005	
18347181	
18347182	
18349392	
18368069	
18377430	PMC11158672
18380793	PMC11158323
18407954	
18408560	PMC3208318
18408563	
18408564	
18408565	
18417193	
18424454	PMC2599947
18425130	PMC2596476
18429967	PMC2492917
18430057	
18433502	PMC2386778
18435918	
18438841	
18443548	
18443790	
18452396	
18460585	
18466099	PMC2757655
18466100	
18467186	
18474679	
18483375	
18484082	
18496129	
18509327	PMC4612590
18511948	
18520597	
18528690	
18535201	PMC2515139
18537939	PMC2950972
18538445	
18542840	PMC3836273
18542936	
18544910	
18565259	
18570163	
18574025	PMC2630264
18580877	PMC2885152
18589174	
18594050	
18594531	PMC2480976
18597649	
18600527	
18600531	
18615156	PMC2276142
18617639	PMC2556451
18618621	PMC2660379
18629445	
18637061	
18641553	
18641915	
18654768	
18657677	PMC2547143
18662264	PMC2920450
18662289	PMC2561120
18664620	
18685564	PMC2762405
18687167	
18687376	
18690117	PMC2743299
18693052	
18698229	
18703939	
18713756	
18722008	
18727922	
18728241	PMC2679896
18751689	
18769620	PMC2518836
18779360	PMC2592852
18780301	
18781850	
18781852	
18781853	
18784455	PMC2675161
18794724	
18794726	PMC2757009
18797399	
18797458	PMC2570505
18797858	
18806696	
18810246	
18812236	
18821564	
18823430	
18831695	PMC3672984
18834373	
18836089	
18836275	
18839779	
18851956	
18855532	
18926547	
18971529	
18981009	
18981587	
18982321	
18987660	
18989660	
19000940	
19005160	
19010874	PMC2586993
19016697	PMC2680291
19016765	PMC11160041
19018719	
19027114	
19031075	
19033450	
19034904	PMC2794198
19037197	
19052714	
19056598	PMC2647710
19057464	PMC2733171
19065121	
19067682	
19074728	PMC2673121
19077664	PMC2896826
19088262	
19094200	PMC2644687
19095219	
19119263	PMC2715837
19124658	PMC2650539
19125240	
19129086	PMC3525178
19129747	
19133059	PMC2668081
19142106	
19143748	
19148563	
19150055	
19151602	PMC2641037
19159907	
19166419	
19177029	
19183167	
19193628	PMC2664151
19193698	PMC2681284
19205682	
19205754	PMC2726911
19207028	
19207029	
19218571	
19225451	
19228205	
19228618	PMC2722908
19236730	
19238117	
19240053	PMC2732914
19258929	
19259652	
19259653	
19268736	
19272758	
19273465	
19274060	
19274593	
19277427	
19279561	PMC3698861
19280158	
19286758	
19289993	
19290789	
19297519	PMC2684883
19299322	
19300499	PMC2652833
19302829	
19327620	
19331489	PMC3682424
19343327	
19345712	
19350112	
19357842	PMC3775655
19361869	
19364831	
19365399	
19365400	PMC2922203
19365401	
19369910	PMC2857717
19371317	PMC2679107
19373123	
19374892	
19387424	
19387461	PMC2810514
19387626	
19395173	
19395426	
19396436	
19404631	
19414633	
19414708	PMC4272010
19429918	PMC2709885
19433561	PMC2704695
19440701	PMC2908290
19444285	
19451862	
19451915	
19455410	
19468717	
19474465	
19480553	
19481584	
19496924	
19500084	
19504558	
19514130	
19523031	
19531981	
19542315	
19545554	
19545678	
19552744	PMC2686066
19560446	
19567893	
19578179	
19581389	
19582440	
19590397	
19593168	
19604081	
19605407	
1960624	
19606452	
19620853	
19628476	PMC2748889
19628728	PMC2749505
19635985	
19636336	
19638460	
19659438	PMC2754599
19661214	
19663669	PMC2737687
19669737	PMC2901912
19679631	PMC3131846
19683391	
19684573	
19684603	PMC2762391
19692684	
19692698	
19694741	PMC2767285
19704172	PMC3837290
19710077	PMC2760462
19733552	
19738376	
19740397	PMC2766479
19745563	
19749757	
19749758	
19752777	PMC3330749
19755414	
19770842	
19784640	
19785625	
19794411	
19794412	
19802360	PMC2756088
19818381	
19825907	
19827168	
19841156	PMC3571021
19842931	PMC2820245
19846067	PMC2794921
19846789	PMC2773991
19855097	PMC2812115
19858760	PMC2888980
19859084	
19865079	
19875892	
1988236	
19890249	PMC2884029
19891553	
19893579	
19898263	
19902562	
19904007	
19907160	PMC2853591
19916993	PMC2791975
19921195	
19926050	
19926672	
19933691	
19934793	
19937159	
19940985	
19946932	
19997080	
20002085	PMC2810802
20003118	
20016225	
20020283	
20028383	PMC11159193
20029384	
20031235	
20031551	PMC2995295
20038727	PMC4872310
20038957	PMC6631360
20040334	
20040338	
20041908	
20054294	
20060832	
20064494	
20072124	
20078613	PMC2830598
20078617	PMC2830602
20079160	
20089352	
20091113	PMC4454285
20110084	
20116071	
20118554	
20124171	PMC4872305
20125119	
20125120	
20128861	PMC4441275
20133509	
20140004	PMC4002408
20141248	PMC3703617
20143052	
20153897	
20157310	
20165956	PMC11828173
20168265	
20171873	
20175817	
20176026	PMC2883666
20194480	PMC2896457
20195290	
20196918	
20200517	PMC2928561
20203262	PMC2865873
20207952	
20220551	
20223877	PMC2879959
20226083	PMC2855513
20231857	
20235788	
20237460	PMC3055457
20300048	
20305679	PMC2860533
20307661	PMC2906637
20309874	PMC3652476
20332423	
20338069	PMC2859392
20339191	
20339978	
20346718	PMC3598593
20348146	
20348464	
20352314	
20368718	
20375999	PMC2858245
20376628	
20376629	
20383212	
20385995	
20386359	
20386493	
20389235	PMC4892373
20390257	
20393454	
20393862	
20399780	
20403483	
20415561	
20415563	
20417680	
20421126	
20434452	
20441246	
20441720	
20442691	PMC3098751
20452607	
20472929	
20473659	
20479755	PMC2925052
20488759	
20523342	PMC4002970
20530282	PMC2903324
20531370	
20559522	PMC2886925
20559687	
20562211	
20565970	PMC2910688
20568049	
20578254	
20580759	
20584552	
20585342	
20585834	
20590587	PMC2935997
20592455	PMC3833422
20595278	
20615525	
20619611	
20621700	
20622033	
20625352	
20633187	
20637204	
20643254	
20648473	
20653676	PMC2911553
20662624	PMC2919241
20664233	
20665215	
20665488	PMC2966859
20669013	PMC2957581
20670920	PMC2913479
20673984	PMC2943151
20680652	PMC3029819
20682687	PMC3279522
20694283	PMC2949522
20709156	
20716240	PMC2949912
20720517	
20724655	PMC2952572
20728570	
20804372	
20809084	
20812847	
20814331	
20818295	
20818834	
20823282	PMC2976128
20829635	
20830509	
20831535	
20833655	
20833658	
20833980	
20837591	
20838991	
20841522	
20854418	PMC3403289
20859243	PMC2976715
20860463	
20863575	
20872712	
20877298	
20881953	
20886236	PMC3016221
20921307	PMC2981241
20921968	
20929549	PMC2959002
20931559	PMC3653303
20932673	
20952418	
20959500	PMC3100585
20962433	
20964522	
20970119	
21038076	
21047202	
21047205	
21048934	PMC2966433
21052022	
21054464	
21057378	
21057703	
21063236	
21072155	PMC2966981
21075428	
21083385	PMC3148255
21083596	
21084764	
21094796	
21094797	
21102498	
21103886	
21107309	PMC3055694
21107318	PMC3034442
21109570	
21110013	PMC3291838
21110192	
21111021	
21112657	
21112660	
21118735	
21121772	
21121774	
21127421	
21127708	PMC2992873
21128989	
21145801	
21148049	
21151198	
21157362	PMC3066089
21167658	
21173786	
21174568	PMC3006662
21174619	
21174621	
21178986	
21186350	PMC3030919
21188787	
21192313	
21192345	
21195460	
21205745	PMC3068061
21206424	PMC3579501
21209234	
21223952	
21225912	PMC3020258
21228733	PMC3038469
21233271	
21239504	
21241071	
21246582	
21254157	
21262916	
21263010	
21270790	PMC3625373
21273624	
21273673	
21273734	
21280081	
21288052	
21288825	PMC3071070
21311897	
21319286	
21320153	PMC3175513
21321200	PMC3048137
21326246	PMC3049596
21326313	
21331500	
21332310	PMC7423195
21332314	
21332319	
21338649	
21346780	PMC3114195
21358750	PMC3130093
21358751	PMC3310336
21359536	
21360545	
21361732	
21362365	
21366650	
21383338	
21383771	
21384511	
21387541	
21390311	PMC3044738
21391884	
21392617	PMC3061841
21392722	
21393201	PMC3143437
21395648	PMC3080643
21398039	
21404110	
21430657	PMC3081375
21436775	
21437990	
21441248	PMC3092713
21447862	
21449672	
21449681	
21449848	
21451505	PMC4519823
21451508	
21466653	
21479500	
21480817	
21480951	PMC3093079
21494765	
21498394	
21503910	
21505315	PMC4892378
21507170	
21512411	
21513075	
21519338	PMC3100476
21521021	
21528942	
21535061	
21537116	
21543662	
21544031	
21550019	
21558457	PMC3182303
21561445	
21566507	
21572301	
21576462	PMC3107291
21576632	
21589866	PMC3093392
21590310	
21590444	
21593757	
21596874	
21597399	PMC3116045
21599570	
21602569	PMC3137047
21606533	
21614669	PMC3550197
21615537	PMC3164277
21625751	
21632579	
21635144	
21635146	
21635147	
21636598	
21642471	PMC3786668
21642870	
21644011	
21652606	
21654688	PMC3137420
21658141	
21666065	PMC3164274
21671989	PMC3244642
21677300	
21688171	
21689142	PMC3248259
21692828	PMC3248257
21698374	PMC3214266
21709633	PMC3539557
21711429	
21716274	
21725053	
21733227	
21734714	
21739267	PMC3249179
21739446	
21741447	
21743379	PMC3139013
21745312	
21747412	
21747589	PMC3125052
21753138	
21768473	PMC3158597
21769110	
21770725	
21779873	PMC3444290
21781277	PMC3461952
21781652	
21782804	
21790905	PMC3735354
21803659	
21803869	PMC3213989
21806385	
21806386	
21806387	
21811894	
21819368	
21830868	
21831685	
21837673	
21839244	
21840870	
21842338	
21844885	
21851254	
21860339	
21886016	
21887680	
21892778	
21896912	PMC3195031
21902500	
21902502	
21903774	
21907615	
21911885	
21915484	PMC3161212
21916909	
21919605	
21922127	
21930396	PMC3640375
21931346	
21931540	PMC3172251
21933224	
21934637	
21940774	
21946898	
21947681	
21956618	PMC3329222
21958076	
21961650	
21962566	
21975350	PMC3667657
21981797	
21987091	
21987611	PMC3180021
21989330	PMC3360546
21995462	PMC3376437
22006095	
22006347	
22010099	
22024001	PMC3225067
22026923	
22040439	
22044939	
22045970	
22047493	
22047557	PMC3230303
22048466	PMC3260990
22057858	
22064666	
22074251	
22075505	
22075549	
22076562	
22083166	
22094953	PMC3237821
22101623	
22105431	
22106207	PMC3264276
22111602	PMC3292264
22111603	
2211621	
22120873	
22122271	PMC3394147
22123356	
22129793	
22130800	PMC3384479
22147369	PMC3246196
22149470	
22153130	
22158330	
22158445	
22170007	
22172097	
22183771	
22186618	
22188362	
22189199	
22192158	
22192668	PMC3245828
22217949	PMC3597465
22230405	
22248286	
22249355	
22252093	
22256867	
22260295	
22266406	
22271297	PMC3352974
22274142	PMC3378722
22277678	
22281720	
22285300	
22292851	
22293084	
22294058	
22301466	
22304537	
22307138	PMC6432766
22309416	
22310591	
2231320	
22324425	
22328925	PMC3273458
22329723	
22331680	
22331829	
22339449	
22349464	
22354160	
22368681	PMC3282030
22369694	
22370858	PMC5875925
22371894	PMC3370715
22379997	
22383676	
22390861	
22394315	
22406652	
22414228	
22417933	
22418828	PMC3419350
22422348	
22426923	PMC11824232
22428615	PMC3448899
22428763	
22436571	PMC6987567
22440088	PMC3320544
22441531	
22450926	PMC5604731
22453232	PMC3369131
22455762	
22457278	PMC3415853
22462746	
22462752	
22462821	
22469198	
22471336	
22471906	PMC3522814
22480177	PMC3396003
22480748	
22481606	
22484315	PMC3774043
22486182	
22486528	
22490566	
22495427	
22510778	
22515274	
22527101	PMC3727245
22528326	
22534826	
22535333	
22538805	PMC3381232
22541248	PMC3992925
22549502	
22551036	PMC3414671
22562609	
22566498	PMC3530397
22571356	
22574741	PMC3555056
22584460	
22585284	
22590580	PMC3348126
22591328	PMC6493603
22591463	PMC3508798
22594507	
22594510	
22625877	PMC3555061
22629463	PMC3358293
22630058	PMC6493375
22641026	PMC3434304
22648373	PMC3433845
22660440	
22676192	
22676194	
22686296	
22695756	
22700043	
22704849	
22706620	
22706623	
22718623	
22722500	
22725663	
22733128	
22735459	
22749033	
22751958	PMC3425006
22760354	
22760475	
22761669	PMC3383686
22763757	
22765258	PMC3579261
22786571	
22792082	PMC3390407
22795047	
22798433	
22821704	
22838949	
22838950	
22840423	
22842957	
22851411	
22854539	
22855348	
22871975	PMC3461592
22871995	
22875622	PMC3561425
22875663	PMC4039203
22882994	
22885912	
22886152	
22889968	
22893251	
22901187	
22907730	PMC3941038
22907732	
22909202	
22911785	PMC3401172
22920393	PMC3518380
22920394	
22925276	PMC3521860
22926595	
22926616	
2293406	
22935916	
22940027	PMC3786328
22941809	
22942289	PMC3481266
22947179	
22947444	PMC3513646
22948856	
22949529	PMC3462355
22950382	
22951632	PMC3940150
22955794	
22960943	
22960998	
22965830	
22981363	
22986918	
22990223	
22990331	
22992768	PMC3478502
23001453	
23007012	
23007311	
23007924	
23029095	PMC3454425
23052413	PMC3621996
23057546	
23059146	
23061746	
23069858	
23071495	PMC3468617
23073208	PMC4038024
23073468	
23077486	PMC3471928
23083021	
23087401	PMC3529147
23090703	
23092981	PMC3565812
23095326	
23097010	
23099353	
23100282	PMC3612775
23104259	
23107770	
23116553	PMC3690108
23119086	PMC3485381
23126384	
23127338	
23127916	
23131881	
23142150	
23142377	
23146466	
23146479	
23147557	PMC4011617
23148286	PMC3537445
23149126	
23149441	
23149928	PMC3729209
23150149	PMC3641305
23158458	PMC3582836
23159639	
23159934	PMC3574284
23166513	PMC3499361
23172109	
23173844	PMC3523080
23175667	
23183491	PMC3873034
23183958	
23198157	PMC3505921
23204795	PMC3506814
23208322	
23215884	
23215888	
23221997	
23223006	
23230131	
23233654	PMC4169706
23233662	PMC3567337
23240711	PMC3548029
23241943	PMC3922978
23252721	
23252946	
23252947	PMC3570048
23254426	PMC3553682
23257391	
23263737	
23263738	
23266789	
23272163	PMC3525665
23278282	PMC4116556
23281610	
23299853	
23302985	
23305195	PMC3769669
23313410	
23313934	
23315174	PMC3658129
23323945	
23327575	
23332809	
23335901	PMC3544007
23337555	PMC3633658
23353631	PMC3756535
23354298	PMC3604156
23358500	PMC3778124
23360626	
23364483	
23371292	PMC3617060
23371894	
23372834	PMC3555879
23374588	
23375287	
23381968	
23383658	
23384627	PMC3624039
23394389	
23394390	
23399569	
23400848	PMC3594083
23400986	
23417334	PMC3675749
23422377	
23423913	
23426382	
23428009	
23431434	PMC3575609
23433505	PMC3622803
23435876	PMC3637851
23438946	
23444281	
23459029	
23469684	
23473641	
23476897	PMC3584248
23481074	PMC3657889
23490377	
23494984	
23503447	PMC3603284
23505228	
23510058	
23510446	
23510626	
23521149	
23537502	
23543259	PMC3608305
23555300	PMC3610685
23556337	
23556445	
23557865	
23557867	
23559402	
23559864	PMC3611944
23562852	PMC3786570
23567489	PMC3959225
23567787	
23570466	
23571513	PMC3712827
23580071	
23580812	PMC3621246
23584701	
23588314	
23588332	
23588952	PMC3673300
23590265	PMC3734608
23592691	
23599738	PMC3628804
23602689	
23609392	
23609393	
23612435	PMC3746708
23613831	PMC3632552
23619509	
23623526	PMC7274090
23628510	
23633119	PMC3755037
23640958	
23645042	
23646118	PMC3639978
23649425	PMC4151246
23651021	
23651023	
23651024	PMC3867202
23652803	
23656803	PMC3692386
23658070	
23665868	PMC3818912
23666564	
23666583	
23674605	PMC3749354
23682072	PMC4057281
23686330	
23688605	
23691226	PMC3656883
23697249	
23706899	
23712427	PMC3674704
23712614	PMC3760990
23726091	
23729673	PMC4296254
23730840	
23733010	
23733030	
23734829	PMC3680019
23738951	PMC3895354
23753411	PMC3780966
23757359	
23763943	
23773341	
23774941	
23787247	
23797529	
23799451	
23803057	
23807564	
23809733	
23816762	
23831869	
23834376	PMC3952719
23835420	
23837476	
23837477	
23840296	PMC3686783
23842101	
23846872	PMC3834132
23849431	PMC3818518
23856854	PMC4034115
23859569	PMC4116670
23859570	
23859573	
23860526	PMC3749570
23863317	
23876228	PMC3808494
23886675	PMC3845218
23894093	
23898114	
23900887	
23909491	
23922954	PMC3726442
23926243	
23940523	PMC3734199
23940630	PMC3734060
23941071	PMC3865618
23942539	
23944300	
23949431	
23953100	
23959273	
23959274	
23963147	PMC3776990
23965986	
23970434	
23974086	
23981149	
23990505	PMC3787223
23990957	PMC3753327
23991193	PMC3753270
23992748	PMC3938989
23996099	
23996211	
24014145	
24019055	
24019397	
24019752	PMC3760447
24024018	PMC3766937
24024897	PMC3860742
24024898	
24026091	
24029542	
24030684	
24033383	
24033696	PMC3946972
24034787	
24035255	
24036429	
24038027	PMC3912955
24048425	
24052064	
24059494	
24061445	
24061601	
24062210	
24066763	
24070809	
24073221	PMC3779247
24081349	PMC4502741
24088113	
24088130	
24089074	
24090479	
24096969	PMC3944214
24102823	
24117666	
24118301	PMC3852421
24120259	
24123600	PMC3858547
24126707	PMC3988270
24128861	
24134200	
24142869	PMC4412845
24143213	PMC3797132
24145522	PMC3910794
24148610	PMC4015881
24152157	
24154666	PMC3988537
24167597	PMC3805522
24189425	
24192117	
24192118	
24192120	
24192121	
24192302	
24192531	
24193570	
24205831	
24214410	
24217698	PMC3910846
24223824	PMC3818406
24224579	
24224851	
24230997	
24231473	
24232129	
24236484	
24238261	
24240480	
24251363	
24253594	
24256307	
24257813	
24269714	
24274990	
24279416	PMC6493076
24279852	
24280104	PMC3943570
24293076	
24293093	
24299220	
24300029	
24300566	PMC3901533
24300978	PMC3899768
24305170	PMC3931261
24307847	PMC3846997
24316028	
24322170	
24322329	
24329186	
24329187	
24330000	PMC4168390
24338217	PMC3890033
24342961	
24345815	
24346747	
24350812	
24351870	
24352002	
24360851	
24361227	
24365989	
24367041	PMC4017364
24369049	
24378577	
24382596	
24383060	PMC3871508
24383873	
24386571	PMC3872414
24394199	
24402637	
24403552	PMC4038142
24404132	PMC3880259
24407380	
24420746	PMC3947488
24422887	PMC6493124
24433464	PMC4168388
24435759	PMC4000411
24438215	
24442125	
24444407	
24444408	
24446315	
24448396	PMC3985268
24461666	
24469018	
24474498	
24475354	PMC3902809
24477223	
24492364	PMC4023787
24495780	
24497997	PMC3909010
24504666	
24508947	
24513691	
24521109	
24521642	PMC3978988
24522145	PMC3944116
24525658	
24526611	PMC4012056
24528196	PMC4137828
24530212	
24533708	
24551111	PMC3925114
24554646	
24566734	
24567120	
24577123	
24583629	
24589908	
24589909	
24595507	
24597986	
24598718	
24601977	PMC4043918
24602923	
24615047	
24619498	PMC4010098
24624914	
24628014	
24633560	PMC4104334
24637499	
24643204	PMC3958404
24643635	
24655974	
24656015	
24658827	PMC4025175
24663076	
24667440	
24668570	
24673480	
24684392	
24685597	
24702251	
24703092	
24704000	
24706503	
24709712	
24710841	PMC4113831
24712521	
24717838	
24718721	PMC11823488
24723432	
24724887	PMC4600600
24727911	PMC3984266
24728385	PMC3984158
24729586	PMC4100708
24729984	PMC3983993
24732178	
24739669	
24747667	
24748394	PMC3991683
24751813	
24752311	
24759732	PMC3997354
24763183	
24766668	PMC4257570
24768758	
24776844	
24809448	
24815731	
24820765	
24820767	
24827774	
24828442	
24831655	
24836205	PMC4154311
24852429	
24853734	PMC4171106
24858363	PMC4032230
24858822	
24868171	PMC4012347
24874929	
24889923	
24891132	
24898899	
24906949	PMC4119242
24907224	
24908438	
24909733	PMC4157963
24910925	PMC4243881
24927344	PMC4078496
24927955	
24929144	
24950369	
24951635	PMC10852661
24956244	PMC4151614
24956252	
24956253	
24958282	
24958824	PMC4105486
24967362	PMC4055378
24968714	
24968986	PMC4111883
24973281	
24978393	
24980946	
24996381	
24997317	
25001883	PMC4209173
25002132	
25008027	
25025378	PMC4099069
25025989	
25026456	
25026457	
25039301	PMC4300289
25040563	
25042728	
25042870	
25047911	
25048416	
25049040	PMC4270923
25049054	
25051018	PMC4160394
25054547	PMC4108472
25056761	
25060201	
25064769	PMC4115247
25069034	
25069475	
25075423	
25079360	PMC4183989
25080450	
25081908	
25084200	PMC4155516
25084201	
25084205	
25089947	
25090458	
25091503	PMC4308646
25093390	PMC4150366
25096017	PMC4282597
25096692	
25098908	
25102313	
25108385	PMC4999337
25108775	
25115353	
25120580	PMC4130425
25126975	PMC4134280
25141893	
25141896	
25143324	
25145599	
25150845	
25154506	
25155930	
25155931	
25155932	PMC4190075
25155934	
25156213	PMC4342329
25162219	
25163792	
25171465	
25171759	PMC4206345
25177243	PMC4110085
25179995	
25185591	
25187485	PMC4201132
25188725	
25192553	
25201288	
25209194	
25210463	PMC4154892
25215437	
25223561	
25224784	
25229170	
25232828	PMC4169411
25239082	
25239277	
25239468	
25240575	
25241292	
25245580	
25258374	
25266159	
25266679	PMC4406866
25271728	
25274942	
25278709	PMC4177494
25279405	PMC4243902
25279974	
25285015	PMC4181635
25286744	
25287072	
25290263	PMC4350512
25295552	
25303293	
25303294	
25303296	PMC4208722
25303299	
25303300	
25306451	
25310192	PMC4195667
25311255	
25311995	
25312789	
25322286	
25323806	
25327507	
25329996	PMC4199712
25339146	
25340733	
25344452	
